# sim/spectral_table.csv -- the committed spectral basis for Q4 (northstar design §8, M1a0).
# Generated by tools/make_spectral_table.py; do not hand-edit.
# producer_commit: 5246a509ff21492c30ba97a51bc5832cc763dba6
# quadrature: trapezoid
# formatter: %.10e , newline \n
# grid: ASTM G173-03 native, 2002 rows, 280-4000 nm
# source: ASTMG173.csv  md5 b31870bd3500b58414100af7e4b0e04c  size 57708 B  pvlib-python commit 2d0ed71e1308293b3081979404f8e90f2f2dde1e
# source: iop2008.dat  md5 cf5f76d58a31aa5f994fa038c390a856  size 16514 B  Warren & Brandt 2008, IOP_2008_ASCIItable.dat
# k_per_m: 4*pi*m_im/lambda, m_im log-space interpolated over 250-4200 nm
# E_AM0: ASTM column 2 (extraterrestrial), W m^-2 nm^-1
# n_ph: E_AM0*lambda/(h c), h 6.62607015e-34 J s, c 299792458.0 m/s
lambda_nm,k_per_m,E_AM0,n_ph
4.0800000000e+02,8.0240714831e-04,1.6990000000e+00,3.4896093317e+18
4.0900000000e+02,8.1018348644e-04,1.8090000000e+00,3.7246472001e+18
4.1000000000e+02,8.1804007731e-04,1.5370000000e+00,3.1723492374e+18
4.1100000000e+02,8.2928825204e-04,1.7150000000e+00,3.5483725744e+18
4.1200000000e+02,8.4069606773e-04,1.8160000000e+00,3.7664857429e+18
4.1300000000e+02,8.5226583196e-04,1.7392000000e+00,3.6159535757e+18
4.1400000000e+02,8.6399988613e-04,1.7144000000e+00,3.5730226296e+18
4.1500000000e+02,8.7590060595e-04,1.7688000000e+00,3.6953033346e+18
4.1600000000e+02,8.8797040195e-04,1.8150000000e+00,3.8009593732e+18
4.1700000000e+02,9.0021172003e-04,1.7660000000e+00,3.7072341909e+18
4.1800000000e+02,9.1262704191e-04,1.6850000000e+00,3.5456793220e+18
4.1900000000e+02,9.2521888573e-04,1.7490000000e+00,3.6891566783e+18
4.2000000000e+02,9.3798980657e-04,1.5990000000e+00,3.3808120044e+18
4.2100000000e+02,9.6214736088e-04,1.8110000000e+00,3.8381665287e+18
4.2200000000e+02,9.8693265170e-04,1.7820000000e+00,3.7856757953e+18
4.2300000000e+02,1.0123621060e-03,1.7210000000e+00,3.6647512812e+18
4.2400000000e+02,1.0384525832e-03,1.7080000000e+00,3.6456669453e+18
4.2500000000e+02,1.0652213863e-03,1.7550000000e+00,3.7548216948e+18
4.2600000000e+02,1.0926862741e-03,1.6990000000e+00,3.6435626846e+18
4.2700000000e+02,1.1208654728e-03,1.6380000000e+00,3.5209920144e+18
4.2800000000e+02,1.1497776886e-03,1.6510000000e+00,3.5572477219e+18
4.2900000000e+02,1.1794421206e-03,1.5230000000e+00,3.2891256394e+18
4.3000000000e+02,1.2098784731e-03,1.2120000000e+00,2.6235801903e+18
4.3100000000e+02,1.2581887558e-03,1.0990000000e+00,2.3845049604e+18
4.3200000000e+02,1.3084351051e-03,1.8220000000e+00,3.9623732868e+18
4.3300000000e+02,1.3606953567e-03,1.6913000000e+00,3.6866491848e+18
4.3400000000e+02,1.4150504842e-03,1.5600000000e+00,3.4082982809e+18
4.3500000000e+02,1.4715847260e-03,1.7090000000e+00,3.7424377681e+18
4.3600000000e+02,1.5303857173e-03,1.8680000000e+00,4.1000261702e+18
4.3700000000e+02,1.5915446273e-03,1.9000000000e+00,4.1798269860e+18
4.3800000000e+02,1.6551563021e-03,1.6630000000e+00,3.6668203031e+18
4.3900000000e+02,1.7213194137e-03,1.6010000000e+00,3.5381734542e+18
4.4000000000e+02,1.7901366139e-03,1.8300000000e+00,4.0534706602e+18
4.4100000000e+02,1.8567347273e-03,1.7990000000e+00,3.9938616859e+18
4.4200000000e+02,1.9258203801e-03,1.9220000000e+00,4.2766028429e+18
4.4300000000e+02,1.9974868062e-03,1.9490000000e+00,4.3464914832e+18
4.4400000000e+02,2.0718307446e-03,1.8941000000e+00,4.2335933646e+18
4.4500000000e+02,2.1489525715e-03,1.9650000000e+00,4.4019573796e+18
4.4600000000e+02,2.2289564372e-03,1.7557000000e+00,3.9419257121e+18
4.4700000000e+02,2.3119504085e-03,1.9900000000e+00,4.4779977103e+18
4.4800000000e+02,2.3980466166e-03,2.0140000000e+00,4.5421424236e+18
4.4900000000e+02,2.4873614099e-03,2.0010000000e+00,4.5228969960e+18
4.5000000000e+02,2.5800155135e-03,2.0690000000e+00,4.6870142302e+18
4.5100000000e+02,2.6688083046e-03,2.1420000000e+00,4.8631680371e+18
